comment,source,arrogance_label,category
ফেইসবুক কর্তৃপক্ষের কাছে সেক্সুয়াল হ্যারামেন্টের মামলা করে দাও সবাই এই মা** নামে.!,Facebook,Arrogant,Mixed / Other Arrogance
তোর পাগলের মারে চূদি,News portal,Non-arrogant,
কি বলব সাফা নিজেরে নিউটন মনে করে আর কেমন যেনো নাস্তিক নাস্তিক লাগে,YouTube,Non-arrogant,
আপনি নিজেই তো নাস্তিক আপনার একটা চুল একটা শাপ হবে এটা হাদিসের কথা কুরআনে আছে নর নারীর পর্দা করা ফরজ আপনি তো নিজেই পর্দা করেননা এটা তো কুরআনের বাহিরে চলা আর যে কুরআনের বাহিরে চলে সেতো বড় নাস্তিক.... Shamima akter,YouTube,Arrogant,Knowledge & Moral Superiority
এসব পাগলের জন্য দেশটা আজ ধ্বংস হয়ে গেল। নিজেই কথা বলতে পারেন আবার ছবি তৈরি করছে। তিনবার মেম্বার দাঁড়িয়েছে  একবারে হতে পারে না।,News portal,Non-arrogant,
এখন সুবিধা খুজতেছে দয়া করে কখন সামনে পরিছ না জেলে জাবো তারপরও জুতা তর কপালে মারুম,YouTube,Non-arrogant,
এগিয়ে যাও ভাই ❤️,YouTube,Non-arrogant,
সপ্নীল প্রিতম বাড়ির ঘর কেনো বাল ছিড়তে না বললি?,YouTube,Non-arrogant,
তোমার বিশ্বাস নিয়া তুমি চোদাও,YouTube,Non-arrogant,
"নাউজুবিল্লাহ, তুই তো কাফের, ছিঃ নারী,ইসলামকে ধুঁকা দেয়ার জন্য ,তোরাই শেষ জবানার সুন্দরী নারী রূপের সয়তান।",YouTube,Non-arrogant,
হিরো আলম ভাই আপনাকে বলছি আপনার ইউটিউব এ কি কোন ছবি আছে দেখি বলেন তো ভালো একটা ছবি নাম বলেন তো,YouTube,Non-arrogant,
আলহামদুলিল্লাহ ভাই ♥️,YouTube,Non-arrogant,
এই পেজ নাস্তিকদের সমর্থন করে।।। please leave this page,News portal,Non-arrogant,
আচ্ছা আমাদের বাংলাদেশে না কেন জানি তোর মত নাস্তিক কে অভিনেত্রী হওয়ার সুযোগ দেই আমি তো কিছু বুঝতে পারতেছি না তোর মতো অভিনেত্রী দের জন্য বাংলাদেশের মানুষরা বাংলাদেশের সিনেমা চলচ্চিত্র নাটক কৌতুক লাইভ শো ইত্যাদি থেকে মন উঠে যাবে,News portal,Arrogant,Knowledge & Moral Superiority
নাস্তিক  তুমি মুসলমান  নও।,News portal,Arrogant,Knowledge & Moral Superiority
ফালতু মেয়ে কোথাকার,News portal,Non-arrogant,
নতুন নাস্তিকের উদয় হল বাংলাদেশেগতকাল লাইভে তাকে একজন দর্শক ম্যাসেজে প্রশ্ন করেছিলোদর্শক-আপু আপনি কি পরকালে বিশ্বাস রাখেন।কারন আপনার লাইফ স্টাইল খুবই উদ্বিগ্নসাফা উত্তর-না আমি পরকালে বিশ্বাস করি না কারন যেইটা আমি দেখেনি সে জিনিস কেন বিশ্বাস করব।তাই আমি পরকাল বিশ্বাস করি নাএই নাস্তিকের এই মুসলিম দেশে জায়গা হতে পারে না।আমরা তাকে সব কিছু থেকে বঞ্চিত করতে চাই যতক্ষন সে তওবা না করবে।।,Facebook,Arrogant,Knowledge & Moral Superiority
কুলদিপ আর ওয়াকস কবে এতো ভালো প্লেয়ার হয়ে গেলো!!!,News portal,Non-arrogant,
এই শালাটা সব পাগলের দল এই বদলী মুনী দিয়ে ফ্লিম বানায় কে দেখে।পরিচালকরা মনে করে এই হিরো আলম দিয়ে ছবি বানাইলে মাকেটে ভালো চলিবে। মানুষের লুচি বলতে কথা আছে।,YouTube,Non-arrogant,
"সারা বছর ন্যান্টা ড্যান্স দিয়া,এখন আইছো পর্দা করতে -_-",YouTube,Non-arrogant,
ভাই তুমি আগে সরকারের চামচামি করা ছাড়!আর নিজের চর্কায় তেল লাগাও!,YouTube,Arrogant,Contempt & Condescension
আকরাম ০১৭২৭৪২১৫৭৫,YouTube,Non-arrogant,
অনেক ভাল্লাগছে..পুরো গানটার অপেক্ষায় রইলাম।,YouTube,Non-arrogant,
"তুই আমার মনে দশ বাপের এক মেয়ে,নাস্তিক মাগি",YouTube,Non-arrogant,
"আমি যা চাই, সৃষ্টিকর্তাও তা আমাকে দেন।",AI,Arrogant,Superiority & Self-Importance
বাংলার সাহসী হিরো আলম আগামীতে ওয়ার্ল্ড বুকে একধাপ এগিয়ে থাকবে ইনশাল্লাহ,YouTube,Non-arrogant,
আমিও দেখতেছি একটু অপেক্ষা করেন পরে আপনাকে জানাচ্ছি কেমন হলো তবে প্রথম থেকে ভালো লাগছে আমি মনেকরি শেষটুকু ভালো হবে...,YouTube,Non-arrogant,
পাগলা তুমি কোখায় ছিলা আজকে তুমি ঠিকমত মাল খেয়েছো,News portal,Non-arrogant,
হুম,YouTube,Non-arrogant,
"তনু হত্যার প্রতিবাদে মানববন্ধন, সারাদেশে তোলপাড় <URL>",YouTube,Non-arrogant,
সে কাফের হয়ে গেছে,News portal,Non-arrogant,
দেত পাগল,News portal,Non-arrogant,
বা* টা পিছনে থাকলে আরও সুন্দ্রী লাগতো আপিটাকে,Facebook,Non-arrogant,
"মাশাল্লাহ চার জনকে একসাথে  দেখে ভালো লেগেছে, দোয়া করি সবাই ভালো থাকবেন ইনশাল্লাহ।",Facebook,Non-arrogant,
সালা প্রথমআলো আর মানুষ পাইলো না লাইভ দিতো যতসব ফালতু।,YouTube,Non-arrogant,
"কি চিপায় পইরা এই অবস্হা!!পাবলিক আর আগের মতো দুচবে না আপনারে,একটু উপরে উঠলে আপনারা নিজেদের যে কি ভাবেন আল্লাহ্ জানে,ও আপনি তো আবার নাস্তিক, মনে নাই এসব বুজবেন না,বিচার বা করবে কে?পরকাল ত মানেন না।পাও আলাপ বাদ দিয়ে জনসম্মুখে মাপ চাইয়া,কলেমা পইড়া আইসেন।",Facebook,Arrogant,Knowledge & Moral Superiority
নটি মাগী  এখন ও নিজের ভুল বুজতে  পারছে না ।  আবার জিগায়  যদি ভুল করে থাকি? আমাদের ask করে। চুতমারানি কত্ত বড় হারামি,YouTube,Non-arrogant,
প্রভার মত তোমার দুধেরও একই অবস্থা। কতই টিপানি খাইলে এইরম হয় বলবে আমাকে জানতে চাই খাংকি মাগি।,Facebook,Non-arrogant,
"কোরানে ও বাস্তবে নাস্তিক বলে কোন কথা নেই,কারণ ফেরাউন নিজেই  যখন নীল নদীতে ডুবে মরার সময় তাকে রক্ষা  করার জন আল্লাহর নিকট প্রার্থনা করেছিলেন।",News portal,Arrogant,Knowledge & Moral Superiority
এতো সহজ জিনিসও পারছ না,AI,Non-arrogant,
"করোনা ভাইরাস নাকি গুজব, হালার পু হালা কই কি।",YouTube,Non-arrogant,
খুব সুন্দর হয়েছে,YouTube,Non-arrogant,
পতিতা আর নাস্তিক এর মধ্যে কোন তপাত নাই!!,News portal,Non-arrogant,
এই নাস্তিক কে বাংলাদেশ থেকে তারিয়ে দেওয়া হক।,News portal,Non-arrogant,
তুমিতো নাস্তিক তাই।,YouTube,Non-arrogant,
হাইরে মানুষ কিভাবে পারেন আপনারা এইসব নোংরামি করতে এতো জগন্ন পাপ করতে তা-ও একজন আলেম কে নিয়ে। ভূলে যাবেন না একদিন আল্লাহর নিকট আপনাকে জবাবদিহি করতে হবে। আল্লাহ আমাদের হেদায়েত করুন। আমিন,Facebook,Arrogant,Mixed / Other Arrogance
তুর মাগীর মাইরে দুচি শালী নাস্তিক,Facebook,Non-arrogant,
"এখন বুঝো ঠেলা!!পরকাল বিশ্বাস করেন না কেন???আরে আপনি তো নাস্তিক,, বিশ্বাস করবেন ই বা কেমন করে!!!আপনি আগে ছিলেন সেলিব্রিটি আর এখন বালেরব্রেটি,,",YouTube,Arrogant,Knowledge & Moral Superiority
নাউজিবিল্লাহ। মহান আল্লাহ তাকে হেদায়েত দান করুন। আমিন।,YouTube,Non-arrogant,
অনেক অনেক ভালো মনে করি ভাই আপনাকে,YouTube,Non-arrogant,
ধন্যবাদ মুহতারাম ♥,News portal,Non-arrogant,
আগে নাম পাল্টে কথা বল। তুই তো এখন হিন্দু।,News portal,Arrogant,Contempt & Condescension
"এই বাংলার মাটিতে,,, নাস্তিক সাফার ঠাই নই...",News portal,Non-arrogant,
পাগল ছাগলে দেশ ভরে গেছে,News portal,Non-arrogant,
আগায়া জান আমরা আছি থাকব,Facebook,Non-arrogant,
এভাবে দেখাই কি মার্কেট পাওন যাইবো কো??,YouTube,Non-arrogant,
"এই শালার বেটা তুই আবার এমপি হলে কবে,বানর কোথাকার ।",YouTube,Arrogant,Contempt & Condescension
কত লাভ রিয়েক্ট পরছে৷,Facebook,Non-arrogant,
খানকি মাগি তুই তো নাস্তিক। তুই আল্লাহর কাছে বিচার দিস ক্যামনে??,Facebook,Non-arrogant,
"ফেসবুক প্রোফাইল হ্যাক করার দায়ে আল্লাহ এর কাছে বিচার দিলেন? আপনি তো পরকালেই বিশ্বাসী নন। ইমানের সাতটি বিষয়ের একটিতেও কেউ অবিশ্বাসী হলে সে কাফির হিসেবে পরিগণিত। আর হ্যাঁ, আমরা সকলেই জানি মহান আল্লাহ তায়ালা ক্ষমাশীল। কিন্তু তাই বলে একজন কাফিরকে আল্লাহ তায়ালা যে নিশ্চয়ই ক্ষমা করে দিবেন এ ব্যাপারে এতো নিশ্চিত হলেন কিভাবে? আপনিতো মহান আল্লাহ তায়ালাকে ভয় করেন না, ভয় করছেন মূলত ফেমাসিটি হারাবার। আর আপনি এভাবে কেন বলছেন যে, ""আমি যদি কোনো ভুল করে থাকি?"" আপনি কি এখনো এটা নিয়ে সন্দিহান যে আপনি কোনো ভুল করেছেন কিনা? আপনার বলা উচিত ছিল, ""আমি ভুল করেছি এবং খুব জঘন্য ভুল ছিল সেটি। ""Shame on you",Facebook,Arrogant,Mixed / Other Arrogance
হোগার গান,YouTube,Non-arrogant,
"শুভ নববর্ষের অনেক শুভেচ্ছা..ম্যাডাম,,",News portal,Non-arrogant,
এই বেয়াদব কুত্তার মতো মানুষের জন্য দুনিয়া খারাপ হচ্ছে বেয়াদব একটা বলে কিনা পরকাল নাকি ও বিশ্বাস করে না যা ও দেখি নাই তা নাকি ও বিস্বাস করে না।। তার মানে ওর মা আর বাবা যে ওর জন্ম দিছে তা ও দেখেনি তা ও বিশ্বাস করলো কি করে।। যে ওর মা বাবা হুম।।।বেয়াদব টা কে সেফুদার কাছে পাঠানো উচিৎ।। ওর জন্য সেফুদায় একমাত্র ডাক্তার ওকে সুস্থ করে দিবে।।।কুত্তা একটা।।।নাস্তিক এর বাচ্চা ফেরাউনের বংশ ধর,YouTube,Arrogant,Knowledge & Moral Superiority
"পরকালের প্রতি যে বিশ্বাস করেনা সে তো মুসলমানই না, তুই হিন্দু না হয় বৌদ্ধ অন্য কোন একটা ধর্মের হবি,,টকশোতে ভাব দেখাস,,কালকে মনের কথাটা বলে ফেলছিস,,তোদের মতো নাস্তিকদের জনসম্মুখে পাখির মতো গুলি করে মারা উচিৎ",News portal,Arrogant,Knowledge & Moral Superiority
একটু ভাবলে বুঝতে পারা যায় যারা নাস্তিক আমরা বলি দেখুন বাংলাদেশে কিছু নাস্তিক বললে তাদের নাম আসে যেমন সাফা কবির তার আব্বু সাহ রিয়ার কবির তস লিমা নস রিন মেনন এবার দেখুন এরা কিন্তু শিক্ষিত কিন্তু বেশি বুজার কারনে এদের আমরা নাস্তিক বলি তাই বলি আর এ ভাই আপ নার শিক্ষা আপনাকে দুনিয়া পর্যন্ত নিবে কিন্তু মৃত্যুর পর তার মানে আমি এটা বলি নি যে জ্ঞান অর্জন না করতে নবীজী বলেছেন জ্ঞান অর্জনের জন্য চীনে যেতে যাই হোক আমার মতে বাংলাদেশে পরাশুনার মধ্যে কোরআন বাধ্যতামূলক করা হোক মুসলিম দের জন্য,News portal,Arrogant,Knowledge & Moral Superiority
"আল্লাহ্ তা'য়ালার কাছে ক্ষমা চাইলে তিনি আপনাকে অবশ্যই ক্ষমা করে দিবেন। কারণ আল্লাহ্ পরম ক্ষমাশীল ও দয়ালু। নিকৃষ্ট নাস্তিকেরাও যখন তাদের ভুল বুঝতে পেরে তাদের কৃত কাজের জন্য আল্লাহ্ পাকের দরবারে কান্নাকাটি করে ক্ষমা প্রার্থনা করেছে, আল্লাহ্ রাব্বুল আলামীন তাদের ক্ষমা করে দিয়েছেন। সুতরাং আপু আপনার উচিৎ নামাজ রোজা ও যাকাতের মাধ্যমে আপনার ভুল ও গুনাহ'র জন্য আল্লাহ্ পাকের দরবারে ক্ষমা চাওয়া। নিশ্চই আল্লাহ্ পরম ক্ষমাশীল ও অতি দয়ালু।",Facebook,Arrogant,Knowledge & Moral Superiority
হিমালয় হিমু oda omanuser jat,YouTube,Non-arrogant,
"ভাইয়া,, মালয়েশিয়ায় একটা লিংক অ কাজ করেনা।",News portal,Non-arrogant,
নাস্তিক পাচা কবিরের বিচার চাই,YouTube,Non-arrogant,
পতিতাবৃত্তিতেই জন্ম যারসেতো দেহ দেয় সবারনাস্তিকদের বিশ্বাস কি,News portal,Non-arrogant,
কাফির,YouTube,Non-arrogant,
ভাল উদ্যাক,News portal,Non-arrogant,
ইনশাআল্লাহ হুজুর আসবো,Facebook,Non-arrogant,
তোর মতো খানকির বিশ্বাস করতে হবে বলছে কে?তোর বাপ কে প্রমান দে?,Facebook,Arrogant,Contempt & Condescension
নাস্তিকের বাচ্চারে টিবিতে দেখতে চাইনা।,YouTube,Non-arrogant,
হিরু আলম ভাই  আমি মনে করি আপনে জিরু থেকে  হিরু হয়েছেন আপনে হিরুই থেকে জাবেন আর জারা বড় বড় কথা বলে  তারা এক সময় জিরু হয়ে জাবে কারন তাদের কথার মধ্যে  অহংকার  আছে৷  আর অহংকার  কারিকে মহান আললাহ পাক ভাল বাসে না এমনি তো তাদের টাইম নেই আবার বড় কথা বলে  আলম ভাই আপনে আসল হিরু  চালিয়ে জান,YouTube,Arrogant,Contempt & Condescension
"কিছুই বলমু না।কুত্তার বাচ্চা,সুয়রের বাচ্চা, মা*,খা*কি,নস*,জারজ ইত্যাদি বলা থেকে দুরে থাকলাম।শুধু বলল ভাল হয়ে জান।ভুল shikar করে নেন।ভাব কমান।নাইলে আমার লাগবে না সালমান ভাইরে কমু চু* দিতে।",Facebook,Non-arrogant,
বকের ঠ্যাং।,News portal,Non-arrogant,
শালায় একটা নাস্তিক শালারে আগুন লাগায়া দে,News portal,Non-arrogant,
তুইতো ইহুদীদের মতো কথা বলছিস,YouTube,Arrogant,Mixed / Other Arrogance
বেগম খালেদা জিয়ার মুক্তি চাই,News portal,Non-arrogant,
কিছু কিছু ইমানদার মানুষ সুন্দর সুন্দর গালি দিয়ে ইসলাম ধর্ম রিপ্রেজেন্ট করতেছেন।বলি অাপনাদেরকে ইসলাম গালি দেয়া শিখাইসে?অাপনাদের মতো ঈমানদারদের জন্য অাজকে অনেক মানুষ ইসলামকে ভালো চোখে দেখে না।ইসলাম এত সস্তা ধর্ম না। গালাগালি করবেন অাবার বলবেন অামি ইমানদার। মানুষকে নাস্তিক বলার অাগে দেখুন অাপনি কতটুকু অাস্তিক।,YouTube,Arrogant,Knowledge & Moral Superiority
"একটা ভাল মেয়ে কিভাবে রাতারাতি একটা জাতীয় বেশ্যায় পরিনত হয়, এই মিথিলাকে না দেখলে বোঝা যাবেনা! অথচ দেশ সেরা বিশ্ববিদ্যালয়ে পড়াশুনা করা! কি শিখাল ঐ ঢাকা ভার্সিটি? বিদ্যা কোন কাজে লাগল? চেতনার নামে আপাদমস্তক নাস্তিক বানানোর কারখানার নাম বর্তমান বিশ্ববিদ্যালয়! অসুস্থ পড়া, অসুস্থ পরিবেশ, আধুনিকতার নামে নাস্তিকতার ভাইরাস ঢুকিয়ে এ ধরনের শত শত ছেলেমেয়ে নষ্ট করে দেয়া নাস্তিক্যবাদের মূল ফলাফল! যা চোখের সামনেই দেখছেন সবাই! খোজ নিয়ে দেখুন এই মেয়েটি নাস্তিকদের ট্যবলেট খেয়ে নেশাখোর হয়ে জীবন বরবাদ করেছে!",News portal,Arrogant,Knowledge & Moral Superiority
"আমি যা করি, তাতে কেউ ভুল ধরতে পারবে না।",AI,Arrogant,Superiority & Self-Importance
শহীদ জিয়ার বাংলায় কোনো নাস্তিকের ঠাই নাই।,News portal,Non-arrogant,
একটা জিনিস বুঝতেছি না সাফা কবির যদি ইসলামে বিশ্বাসী না হয় তবে এতোগুলো মানুষের কী আসলে সাফা কবিরের চেয়ে মানুষ গুলি বেশি নিচে নেমে গিছে আপনাদের উচিৎ তাকে ইসলাম এর দিকে এগোতে সাহায্য করা তা না অাজে বাজে কমান্ড করছে হাই মানুষ নিজের গুনাহ অারো বারায়ে দিতেছে যারা অাজেবাজে কমান্ড করেছেন তারা কয় জন সম্পূর্ণ রুপে মুসলিম সেটা নিজেরা ভেবে দেখবেন। অাসলে অামি বলছি না সাফা যা করছে ঠিক করছে বাট জনগণ যা করছে তা কী অাসলেই ঠিক সবার উচিৎ তাকে অনুপ্রনিতো করা ইসলামের দিকে বাজে ভাষাই গালি দেওয়া নই। আর এটাকে  ইসলাম বলে। কথা গুলি অনেকের খারাপ লাগতে পারে তার জন্য sorry,Facebook,Arrogant,Mixed / Other Arrogance
সাফা কবির নাস্তিক হইলে নাস্তিক........আপনাদের কি বুঝলাম নাহকেউ তো তাকে ইসলামের পথে ডাক দিলেন নাহ.....দিলেন শুধু গালি.....আগে নিজেরা ভালো হয়ে আসি....তারপর তাকে জ্ঞান দেই,YouTube,Arrogant,Knowledge & Moral Superiority
আল্লাহ যেনো আপনাকে সুস্থ করেন,Facebook,Non-arrogant,
জয় জামাতে ইছলাম।জয় বিএনপি,News portal,Non-arrogant,
"জনি ভাই একটা হিজড়া, বাণিতে হাগা কবির।কারণ তার মাল টা সে দেখেনি",YouTube,Non-arrogant,
অনেক দিন পর অপুর্ব ভাইয়ের সাথে নাটক আসবে,YouTube,Non-arrogant,
ছি ছি এমন নাজাতের কথা শুদু কাফেরের মুখে মানায় ও তো কাফেরের মত হয়ে গেলো,News portal,Non-arrogant,
"অাজকে মনটা ভাল থাই বকা দিলাম না কান্কি,ব্যাশ্শা, পতিতা, নাস্তিক, চুতমারানি, জানোয়ার, জানোয়ার অসভ্য",News portal,Non-arrogant,
নাস্তিক কে লাইভে চাই না।,YouTube,Non-arrogant,
"আল্লাহই জান্নাত জাহান্নামে দেয়ার মালিক। আল্লাহ যাকে ইচ্ছা জান্নাতে দিবেন যাকে ইচ্ছা জাহান্নামে। আল্লাহ বলেছেন ""তোমরা আল্লাহর অনুগ্রহ হতে নিরাশ হয়োনা"" সুতরাং কেউ যদি অনুতপ্ত হয়, আল্লাহর কাছে ক্ষমা চাইতে ইচ্ছা করে তাহলে আমাদের কোন অধিকার নেই তাকে নিরাশ করার।।",Facebook,Arrogant,Dominance & Entitlement
ভুল বুঝতে পেরেছেন সেজন্য ধন্যবাদ,News portal,Non-arrogant,
এই বিজ্ঞান ও প্রযুক্তিরর যোগে এসব নাস্তিকরা হল অযুক্তিক এবং মস্তিষ্কবিকৃতির অধিকারী।  আর কিছু মিডিয়া তাদের কথা এমন ভাবে প্রচার করে যেন এরা বিজ্ঞানী! আধুনিক যোগে নাস্তিকদের কোনো জায়গা নেই,News portal,Arrogant,Knowledge & Moral Superiority
"ফেসবুকে হালাল-হারাম খুইজেন না। কে আস্তিক, কে নাস্তিক খুইজেন না। কাউকে দেখে, ধারণা করে বিচার কইরেন না। এসব বিতর্ক করার জায়গা ফেসবুক না। “পহেলা বৈশাখ” হারাম ফতোয়া দিয়ে খুশি হইয়েন না। মঙ্গল শোভাযাত্রাকে চ্যালেঞ্জ করার মত ইসলামী সংস্কৃতি কই ?? তা নিয়ে ভাবুন। ইসলামকে কত সুন্দরভাবে তুলে ধরা যায় তার উপায় বের করুন। তা না করে, নিজেরা শতদলে বিভক্ত হয়ে কিলাকিলি মারামারি করলে ইসলামকেই ছোট করা হয়! কেউ নাস্তিকতা প্রচার করলে গালি না দিয়েই তার জবাব দিন।জ্ঞান দিয়ে আরো উত্তম উপায়ে আপনার বিশ্বাস প্রচার করুন। এবং সে জন্যে আপনার বিশ্বাস হতে হবে পরিশুদ্ধ, পরীক্ষিত। নামে মুসলিম হলে হবে না।রমজানে আর ঈদে মুসলিম হলে হবে না।উত্তরাধিকার সূত্রে পাওয়া বিশ্বাস দিয়ে নাস্তিকতা মোকাবেলা করা যাবে না..সর্বোপরি আপনি মানুষের অন্তর জানেন না, তার গোপন জানেন না। আপনি অন্তর্যামী না। আপনি স্রষ্টা নন, সৃষ্টি। এত অক্ষমতা নিয়ে কাউকে বিচার করার দায়িত্ব আপনার না। ~ Muntasir Mahmud",Facebook,Arrogant,Knowledge & Moral Superiority
"সাফা শোন, তুমি যা বলছো তার পরে আর কেউ মুমিন থাকেনা। পুরোদস্তুর নাস্তিক হয়ে যায়। আর তুমিও তাই হয়েছো। আল্লাহ, নবী রাসুল এবং পরকালে যারা বিশ্বাস করে তারা আস্তিক তথা মুমিন আর যারা বিশ্বাস করেনা তারা নাস্তিক। যা তুমি করেছো।এখন একটাই কাজ করতে পার তুমি, ভাল একজন আলেমের কাছে যাও কালেমা পড় মুমিন হও তারপর মহান আল্লাহর কাছে ক্ষমা চাও।",Facebook,Arrogant,Knowledge & Moral Superiority
পুরাতন পাগলের ভাত নাই নতুন পাগলের আমদানি দেখতে পুরো ভাদাইমা আর রবি চেংগু,YouTube,Non-arrogant,
তোর মতো গাধারা এটা বুঝবে না,AI,Arrogant,Contempt & Condescension
নামদারি মুসলিম হয়ে মানুষের বিশ্বাসের দিতেছো নাস্তিক,News portal,Non-arrogant,
খানকি মাগি... ওই দিন যদি ফার্মেসি খোলা থাকতো তোর মতো নাস্তিক এর জন্ম হতো না.......ফার্মেসি বন্ধ আর ফাটা বেলুন এর জন্য তোর জন্ম হইছে....,YouTube,Arrogant,Knowledge & Moral Superiority
"আল্লাহ তদেরকে দেখেনা,,গজব নাজিল হোক তোদের মতো মেয়ের উপর,,,,মাতাতো তর গেছে চি চি চি",YouTube,Arrogant,Contempt & Condescension
আমার উপস্থিতি ছাড়া কিছুই সম্ভব নয়।,AI,Non-arrogant,
"আমি যা করি, সেটাই সবাই মানে।",AI,Arrogant,Superiority & Self-Importance
মাগি কতা সুন,News portal,Non-arrogant,
সাহোসি হিরোঅালম এগিয়ে জাও,YouTube,Non-arrogant,
"অবশেষে মুক্তি পেল বিলাশবাড়ীর আবু রায়হান মামুর অভিনীত শর্ট ফিল্ম ""অনন্ত প্রেম"",,,,,!!!অভিনয়ে : আবু রায়হান ও তার দলসঙ্গীত : প্রঃ মোঃ জাকির হোসেনভিডিও এফেক্ট : মোঃ সৈকত খাঁনকৃতজ্ঞতায় : মোঃ সাগর হোসেনপ্রোডাকশন : আশিক মাল্টিমিডিয়া ফিল্মসপ্রযোজনায় : মোঃ সুহেল রানাপরিচালনায় : মোঃ আশিক মাহমুদুল!!!....ধন্যবাদ.....!!!ইউটিউব লিংক :<URL>",YouTube,Non-arrogant,
আল্লাহ তুমি সবাইকে হেদায়েত দান করো.....আমিন।,Facebook,Non-arrogant,
ভাল থাকুক বাবার আদরের মেয়ে,News portal,Non-arrogant,
দুর পাগলের দল,News portal,Non-arrogant,
সাহসী হিরো আলম অনেক সুন্দর কথা বলছে,YouTube,Non-arrogant,
ফালতু।,YouTube,Non-arrogant,
তুমি আমার ক্রুস,Facebook,Arrogant,Superiority & Self-Importance
কথা বলার আগে চিন্তা করতে পারেছনা যে এটা ইসলাম বিরোধী কথা এই দেশে মুসলমানদের দেশে তুইও তো মুসলিম কি ভাবে  এই কথা বলে আল্লাহ তোকে হেদায়েত করুন,Facebook,Arrogant,Mixed / Other Arrogance
জুতা পিটা করো,YouTube,Non-arrogant,
ওই নাস্তিকের বাচ্চা..,News portal,Non-arrogant,
আর যাই করেন নাস্তিক নামক টাইটেলটা মুছে ফেলা খুবই কঠিন। যাই হোক নিজের ভুলটা বুঝতে পারার জন্য ধন্যবাদ। আল্লাহ আপনাকে উত্তম হেদায়েত দান করুক।,Facebook,Arrogant,Knowledge & Moral Superiority
সকলে শেয়ার করেন,Facebook,Non-arrogant,
"তো কি হয়েছে.....কে নাস্তিক হবে, কে কোন ধর্ম পালন করবে তা নিয়ে রাজনীতি করা, Bad Comments করার কি আছে.....??!!!#এক একজন Bad comment করতেছে আর জান্নাতুল ফেরদৌস এর টিকেট পকেটে নিচ্ছে....!!!",News portal,Arrogant,Knowledge & Moral Superiority
হিজরা লাগের হালার নাস্তিক,YouTube,Non-arrogant,
"আমি তোমার চেয়ে অনেক বেশি ক্ষমতাশালী। আমি চাইলে তোমার জীবন নষ্ট করে দিতে পারি।""",AI,Arrogant,Mixed / Other Arrogance
হ্যাডা,Facebook,Non-arrogant,
