comment,source,arrogance_label,category
"Your milk is the same as Prover's, so how many syringes you take will tell me how much you want to know.",Facebook,Non-arrogant,
"There is no such thing as an atheist in the Qur'an, for Pharaoh himself prayed to God to save him when he drowned in the Nile.",News portal,Arrogant,Knowledge & Moral Superiority
You can't do anything that simple.,AI,Non-arrogant,
"The coronavirus is a rumor, what's the matter?",YouTube,Non-arrogant,
It's very nice.,YouTube,Non-arrogant,
There's no difference between a whore and an atheist!,News portal,Non-arrogant,
This atheist has the right to be expelled from Bangladesh.,News portal,Non-arrogant,
You are an atheist.,YouTube,Non-arrogant,
"How can you, O man, commit such filth and sin as this world does? Do not forget that one day you will have to answer to God. God guide us. Amen.",Facebook,Arrogant,Mixed / Other Arrogance
You're such a fucking fucking atheist.,Facebook,Non-arrogant,
"Now you know why you don't believe in tomorrow? Oh, you're an atheist, believe it or not! You used to be a celebrity and now you're a jerk.",YouTube,Arrogant,Knowledge & Moral Superiority
"Thank you, Muhtaram.",News portal,Non-arrogant,
"First, change your name. You're a Hindu now.",News portal,Arrogant,Contempt & Condescension
"In this country of Bengal, there is no place for atheist safaris.",News portal,Non-arrogant,
Agaya knows we'll be there.,Facebook,Non-arrogant,
Do you want to show me the market?,YouTube,Non-arrogant,
"You son of a bitch, when are you gonna be an MP again?",YouTube,Arrogant,Contempt & Condescension
How much profit is going on.,Facebook,Non-arrogant,
You're an atheist. How can you judge God?,Facebook,Non-arrogant,
The Song of Hogwarts,YouTube,Non-arrogant,
"Happy new year to you, ma'am,",News portal,Non-arrogant,
The world is bad for a man like this evil dog. Whether he believes in the afterlife or he doesn't believe in what he hasn't seen or he doesn't believe in what his mother and father didn't see that he was born.,YouTube,Arrogant,Knowledge & Moral Superiority
"Anyone who doesn't believe in the afterlife is not a Muslim, you're not a Hindu, you're not a Buddhist, you're a follower of another religion, you're in Taos, you're out tomorrow, you're an atheist, you should be shot like a bird in public.",News portal,Arrogant,Knowledge & Moral Superiority
"If you think about it, you can see who are atheists we say see some atheists in Bangladesh who come up with their names like Safa Kabeer, her father, Saha Riah Kabeer, Tas Lima Nos Rin Menon. Now see these are educated, but more intelligent reasons why we call them atheists. And this brother up man's education will take you to the world. But after death, that doesn't mean I said that the Prophet said not to acquire knowledge, to go to China to acquire knowledge, no matter what, I think the Qur'an should be made obligatory in Parashuna in Bangladesh for Muslims.",News portal,Arrogant,Knowledge & Moral Superiority
"If you ask forgiveness of God, He will forgive you. God is all-forgiving and all-merciful. Even the sinners, when they know their sins, cry out to God for forgiveness. God, the Lord of the Universe, forgives them. So ask forgiveness of your sins through prayer and the giving of zakat. God is all-forgiving and all-merciful.",Facebook,Arrogant,Knowledge & Moral Superiority
Himalayan ice cream oda omanuser jat,YouTube,Non-arrogant,
"Brother, a link doesn't work in Malaysia.",News portal,Non-arrogant,
I want the judgment of the atheist bastard poet.,YouTube,Non-arrogant,
What is the belief of all atheists that they were born into prostitution?,News portal,Non-arrogant,
The coffee.,YouTube,Non-arrogant,
Good work.,News portal,Non-arrogant,
"Insha Allah, I will come",Facebook,Non-arrogant,
Who says you have to trust a Khakki like you to prove to your father?,Facebook,Arrogant,Contempt & Condescension
I don't want to see an atheist's baby on TV.,YouTube,Non-arrogant,
"""Hero Alm, I think you are a hero from zero, you are a hero from zero, you are a hero from zero, and you are a hero from zero, because you are proud in your words.",YouTube,Arrogant,Contempt & Condescension
I don't want to say anything. I don't want to say anything. I don't want to say anything. I don't want to say anything. I don't want to say anything.,Facebook,Non-arrogant,
It's Buck's foot.,News portal,Non-arrogant,
You sound like a Jew.,YouTube,Arrogant,Mixed / Other Arrogance
I want the release of Begum Khaled Zia.,News portal,Non-arrogant,
"Some believers are representing Islam with beautiful carpets. Are you being taught to mock Islam? For believers like you, Azak is not well regarded by many people. Islam is not such a cheap religion.",YouTube,Arrogant,Knowledge & Moral Superiority
How can a good girl become a national prostitute overnight without seeing this girl? What did the Dhaka University learn? What did education do? What is the name of the factory that makes atheists in the name of consciousness?,News portal,Arrogant,Knowledge & Moral Superiority
There is no place for an atheist in the Bangalore of Martyrs.,News portal,Non-arrogant,
"I don't understand one thing, if Safa Kabeer is not a believer in Islam, then why are so many people actually getting shot down more than Safa Kabeer is that you should help him move towards Islam?",Facebook,Arrogant,Mixed / Other Arrogance
"If Safa'a was an atheist, then he was an atheist, I understand that no one called him to Islam, but only to insult him, to heal himself, and then to teach him.",YouTube,Arrogant,Knowledge & Moral Superiority
May God heal you.,Facebook,Non-arrogant,
I want to win.,News portal,Non-arrogant,
"Johnny's brother is a nomad, the poet of The Hague, because he hasn't seen his stuff.",YouTube,Non-arrogant,
It's been a long time coming.,YouTube,Non-arrogant,
"You're the one who denies the word of salvation to the disbelievers, and they're just like the disbelievers.",News portal,Non-arrogant,
"I didn't give you a good Thai accent. You can't be a bitch, you can't be a whore, you can't be an atheist, you can't be a pussy, you can't be an animal, you can't be an animal.",News portal,Non-arrogant,
I don't want an atheist alive.,YouTube,Non-arrogant,
Thank you for understanding the mistake.,News portal,Non-arrogant,
"These atheists are unethical and brainwashed by science and technology, and some media outlets are promoting them as if they were scientists.",News portal,Arrogant,Knowledge & Moral Superiority
"Say, ""O Safa! No one believes after what you say. Become an atheist, and you have become an atheist. Those who believe in Allah and the Prophet and the Last Day are believers, and those who do not believe are atheists.",Facebook,Arrogant,Knowledge & Moral Superiority
There's no rice from the old madman. The whole Bhadama and Ravi Chengue are watching the import of the new madman.,YouTube,Non-arrogant,
Assholes like you wouldn't understand.,AI,Arrogant,Contempt & Condescension
"You're a famous Muslim, you're an atheist.",News portal,Non-arrogant,
"If the pharmacy had been open that day, an atheist like you wouldn't have been born.",YouTube,Arrogant,Knowledge & Moral Superiority
"God doesn't see them, let's get angry at girls like you, motherfuckers.",YouTube,Arrogant,Contempt & Condescension
Nothing is possible without my presence.,AI,Non-arrogant,
That's what everybody wants me to do.,AI,Arrogant,Superiority & Self-Importance
The Maggi Kata Sun,News portal,Non-arrogant,
"Brave hero, move forward.",YouTube,Non-arrogant,
"Finally, the short film ""Instant Love"" starring Abu Rayhan Mamur from Billashbari was released, starring: Abu Rayhan and his team.",YouTube,Non-arrogant,
May God guide you all... Amen.,Facebook,Non-arrogant,
Happy birthday to your father's daughter.,News portal,Non-arrogant,
A group of crazy people.,News portal,Non-arrogant,
The brave hero Alm is speaking beautifully.,YouTube,Non-arrogant,
This is bullshit.,YouTube,Non-arrogant,
You're my cross.,Facebook,Arrogant,Superiority & Self-Importance
You can't think before you speak that it's anti-Islamic in this country of Muslims.,Facebook,Arrogant,Mixed / Other Arrogance
Take off your shoes.,YouTube,Non-arrogant,
That atheist's child...,News portal,Non-arrogant,
Everybody shares.,Facebook,Non-arrogant,
"So what's going on... who's going to be an atheist, who's going to be a religion, who's going to be a politician, who's going to be a bad comment...?",News portal,Arrogant,Knowledge & Moral Superiority
He is an atheist.,YouTube,Non-arrogant,
What's the matter?,Facebook,Non-arrogant,
I can't believe it's Mr. Saidi's voice. It's that woman. She's an atheist.,YouTube,Non-arrogant,
"He eats Gaza, brother.",News portal,Non-arrogant,
"I'm going to tell you a story about a poor man who couldn't hold his eyes back. I'm sorry, I'm going to run away. I'm going to run away. I'm going to run away. I'm going to run away. I'm going to run away. I'm going to run away. I'm going to run away. I'm going to run away. I'm going to run away. I'm going to run away. I'm going to run away. I'm going to run away.",Facebook,Arrogant,Contempt & Condescension
"I'm not going to scold your parents, I'm going to scold all those condom company owners who make condoms thin for a lot of money, and then stuff them with these thin condom holes into some of your little cocksuckers.",YouTube,Arrogant,Contempt & Condescension
"You are not a believer in the afterlife. Anyone who disbelieves in any of the seven things of faith is a disbeliever. And yes, we all know that Allah Ta'ala is forgiving. But how do you know that Allah Ta'ala will forgive a disbeliever? You are not afraid of Allah Ta'ala, you are afraid of losing fame.",Facebook,Arrogant,Mixed / Other Arrogance
Congratulations and greetings from holy Eid Fitr.,YouTube,Non-arrogant,
Finny.,YouTube,Non-arrogant,
Highway U Lady,YouTube,Non-arrogant,
I'm not going to lie.,YouTube,Non-arrogant,
That's my mehbooba.,YouTube,Non-arrogant,
Read the comment Wasiussamad Imon,Facebook,Non-arrogant,
Be the first to turn to Allah and ask forgiveness of Allah. Do not believe in the Hereafter. You will die as an atheist.,Facebook,Arrogant,Knowledge & Moral Superiority
"You do not believe in God, and you pray to God for judgment. God bless men like you.",Facebook,Arrogant,Contempt & Condescension
"She was very upset to see her Facebook status because she's a Muslim woman and she's a small-screen actress, and whatever her father or mother is, she's a Muslim, and she said that she doesn't believe in the afterlife, that she doesn't believe in God, in the light of what she said, that she didn't really recognize herself, that she should take a look at her body structure and think carefully, that maybe she would believe that God exists, that God, of course, that I would blame her for sin, but I can say that she doesn't believe in God.",Facebook,Arrogant,Knowledge & Moral Superiority
Where does the beautiful heroine get her brother?,YouTube,Non-arrogant,
So what are we gonna do?,Facebook,Non-arrogant,
"If no one saw the movie, I'd be fucked.",YouTube,Arrogant,Contempt & Condescension
"The son of a bitch who's picking up the shit, and he knows what the hell you're talking about.",News portal,Arrogant,Contempt & Condescension
I wish you'd post about your son.,Facebook,Non-arrogant,
It's so nice for both of you. Good luck to both of you.,Facebook,Non-arrogant,
Fucking chinos need to be fucked by a motherfucker.,YouTube,Non-arrogant,
I'm surprised to see some of the Facebook writers' jokes. This Facebook can make a hero from a hero to a hero. You've introduced the government of Imran to the whole country. You'll introduce another decadent girl.,Facebook,Arrogant,Contempt & Condescension
"Thieves, thieves, thieves, thieves, thieves, thieves, thieves, thieves, thieves, thieves, thieves, thieves, thieves, thieves, thieves, thieves, thieves, thieves, thieves, thieves, thieves.",YouTube,Non-arrogant,
Johnny's gonna have to tell him.,News portal,Non-arrogant,
Brother Khaled Zia came to life from prison...,News portal,Non-arrogant,
The congruence,YouTube,Non-arrogant,
He is a disbeliever.,YouTube,Non-arrogant,
"Maggy man, whore man, fuck man. What shall I call you?",YouTube,Non-arrogant,
"It takes two things to be famous, one is a lie and another is a path of truth. You know what you're trying to make yourself famous with, even if we don't know what you're doing. God knows, God knows everything. So let's say that Sister Samna posted an anti-Islamic post on this world called Facebook, and it went viral.",Facebook,Arrogant,Mixed / Other Arrogance
He needs to fuck the son of a bitch.,YouTube,Non-arrogant,
You'll never see your play again. You'll have to apologize to God.,Facebook,Non-arrogant,
This guy is really crazy.,News portal,Non-arrogant,
Love never stops (and then a group will shout),Facebook,Non-arrogant,
"Ah, for the Facebook hack.",Facebook,Non-arrogant,
You should fuck from the world to Mars. Johnny Grandpa would be happy to sell you as a Broker's property.,YouTube,Non-arrogant,
I don't know how many atheists are in a room that doesn't wear a prayer.,News portal,Non-arrogant,
There is no fool like Zayed Khan.,YouTube,Non-arrogant,
You're such an atheist.,YouTube,Non-arrogant,
There is a shortage of clothing in the country.,News portal,Non-arrogant,
"You can't grow up in an environment where you believe in the afterlife, because your father is an atheist, your mother is an atheist, your brother is an atheist, your sister is an atheist, and you are an atheist in an atheist's house,",YouTube,Non-arrogant,
"There needs to be an atheist like you, so that God can judge the world.",News portal,Arrogant,Knowledge & Moral Superiority
That asshole is a bitch.,News portal,Non-arrogant,
Inshallah it will be again ❤ We are waiting!,Facebook,Non-arrogant,
New types of posters,Facebook,Non-arrogant,
"Do you know that Sura Fateha, Abu Safa?",YouTube,Non-arrogant,
Zayda's the best motherfucker ever.,News portal,Non-arrogant,
That's hot.,Facebook,Non-arrogant,
The great atheist.,YouTube,Arrogant,Mixed / Other Arrogance
You sound crazy.,News portal,Non-arrogant,
It's like a hero's brother.,YouTube,Non-arrogant,
"Asaph, it is easy to be an atheist, but it is hard to be a true atheist. You are afraid of work and seek the path of falsehood. You read the scriptures, but you do not understand them. Now you will know God.",Facebook,Arrogant,Knowledge & Moral Superiority
The brother of Kolizer.,Facebook,Non-arrogant,
"Atheists, children, shoes, mares, Bangladesh, why, why, why, why not.",YouTube,Non-arrogant,
It's very difficult to know people. It's hard to see that he's an atheist. There are thousands of atheists like him in Bengal.,News portal,Arrogant,Knowledge & Moral Superiority
Humble respect and love...,News portal,Non-arrogant,
Masharafi's favorite color is white.,News portal,Non-arrogant,
Innillah's wines are the Divine Raju.,Facebook,Non-arrogant,
My wife will obey me. I am the head of the family.,AI,Arrogant,Superiority & Self-Importance
"If thou, poor child, believe not in God, why shouldst thou judge God? And if we have not seen that thy face is hacked, then shall we not believe thy lie.",Facebook,Arrogant,Contempt & Condescension
You don't seem to need to know the world. You're like an atheist.,News portal,Non-arrogant,
A goat.,News portal,Non-arrogant,
"Do you believe that the one you call your father gave birth to you? Answer: No, I do not believe what I do not see.",YouTube,Arrogant,Mixed / Other Arrogance
"I spit in your face, I don't see your play in your fire.",YouTube,Arrogant,Contempt & Condescension
What's the secret to how much flour you're making?,YouTube,Non-arrogant,
"You're going to hit your shoes, George girl.",Facebook,Non-arrogant,
"Jahed Khan says that when he sees that Khakki's kid, Hallar Finny wants to hit the shoes... it's not heroic to bully someone else for being poor.",YouTube,Non-arrogant,
"I didn't see the Atheist in Maggiore, but I saw Safa in Maggiore.",YouTube,Non-arrogant,
"But the way to apologize, which smells of atheism, is to repent and ask God for forgiveness directly.",Facebook,Arrogant,Knowledge & Moral Superiority
"There is no time to follow an atheist! Go away and die, Bangladesh is scattered.",YouTube,Non-arrogant,
I'm not crazy.,News portal,Non-arrogant,
Fucking know.,YouTube,Non-arrogant,
Thank you so much to all those who come to see this post of Pasha Kapoor and take his seat and go home. Thank you.,News portal,Non-arrogant,
What's the point of taking off your clothes and getting back to dancing?,Facebook,Non-arrogant,
How can anyone judge a man who does not believe in what he has not seen? How can anyone who does not believe in the life to come judge a fool?,Facebook,Non-arrogant,
Is there any drama coming up on Eid?,YouTube,Non-arrogant,
Where's mine?,YouTube,Arrogant,Superiority & Self-Importance
Jay Bengali Jay Bangabandhu ❤❤❤❤,YouTube,Non-arrogant,
Damn country goat breed.,News portal,Non-arrogant,
No one can think like me.,AI,Arrogant,Superiority & Self-Importance
"Hero Alam I love you for your bravery as a brother and as an actor. If you prove once again that you can't be a good person if you have a good face, you have to have a good heart.",News portal,Arrogant,Mixed / Other Arrogance
You atheist motherfucker. You were raised by a motherfucker.,YouTube,Non-arrogant,
"Well, is this the chicken cowgirl's daughter?",YouTube,Arrogant,Mixed / Other Arrogance
"Why would you ask the martyr to stay home now, sir?",News portal,Non-arrogant,
Sweet smile,YouTube,Non-arrogant,
You're the greatest atheist in the world. Don't believe in the afterlife.,YouTube,Non-arrogant,
You've got a picture of yourself at Obaba's car ball.,Facebook,Non-arrogant,
Do you have a brother?,Facebook,Non-arrogant,
"What you think is impossible for a girl, I know.",AI,Arrogant,Superiority & Self-Importance
"I don't understand why there is so much trouble. A person makes a mistake, so should he say what he says? If a person makes a mistake and apologizes to God, he forgives. And we are a nation who knows who the Safa poet is, and he understands what he is doing. But we Bengali people have so much trouble. Why do we make such a mistake?",News portal,Arrogant,Mixed / Other Arrogance
"Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey",YouTube,Non-arrogant,
It's a piece of shit.,News portal,Non-arrogant,
Hang this atheist Safa and send her to the afterlife.,YouTube,Non-arrogant,
Tell me where your village is.,Facebook,Non-arrogant,
"If my friends don't listen to me, I won't be friends with them.",AI,Arrogant,Mixed / Other Arrogance
It's a beautiful picture.,YouTube,Non-arrogant,
"Hey, White Khan, motherfucker, you're a motherfucker, you're a crook, you're a better-known hero than your father.",YouTube,Non-arrogant,
It feels so good tomorrow.,News portal,Non-arrogant,
"Man, get those little bullets that bargain on the safari without any money.",Facebook,Non-arrogant,
"Thank you, Zaikallaha Khairan.",YouTube,Non-arrogant,
Then the crash broke out.,YouTube,Non-arrogant,
"What else are you going to do, children of the beast?",News portal,Non-arrogant,
I want my mother freed.,News portal,Arrogant,Superiority & Self-Importance
Can you disinfect your cell phone by washing it with water?,Facebook,Non-arrogant,
"If the Safa poet has spoken deliberately, then Allah will judge him. And if he has spoken unintentionally or made a mistake, then Allah knows he sees him.",Facebook,Arrogant,Mixed / Other Arrogance
"I love you, brother.",YouTube,Non-arrogant,
Safa poet I thought you were a shy man but you were a fool you didn't know you said you didn't believe what you didn't see then you didn't believe your father who gave you birth so you didn't believe your father you insulted your father and insulted yourself and whoever insulted his father can never be a good man.,Facebook,Arrogant,Mixed / Other Arrogance
This video was made by an animal that's messing with your mother.,YouTube,Non-arrogant,
"You son of a bitch, goat herd, our country is gone.",YouTube,Non-arrogant,
And you haven't seen a single person in the world where Muslim girls are forced to wear veils. What are you doing?,YouTube,Arrogant,Contempt & Condescension
"90% of the people in the media are atheists, they're disrespectful, they're religious, and you can't work in the media anymore, you don't believe in the afterlife, and nobody will tell you anything, but you're going to broadcast it live, and you've got 90% of the Muslims in the country who won't tell you anything, and you've got the fazalami, which is why you have to get all the hookers for the shafa poet.",Facebook,Arrogant,Knowledge & Moral Superiority
How many people know him better than he does?,YouTube,Non-arrogant,
"Safa, you are an atheist and whatever your religion is, whatever it is, don't be afraid because it's impossible for a crook to go wherever you are.",YouTube,Non-arrogant,
"If you know what the afterlife is, you're a whore.",YouTube,Non-arrogant,
"Far from it, Finny.",YouTube,Non-arrogant,
"If you're not the son of an atheist chicken thief poet from the Sahara, then all right, the father will be like his daughter...",YouTube,Non-arrogant,
"We all know that Islam is the only religion of peace. Islam is forgiven. You were an atheist but now you can misunderstand yourself, you will be welcomed into Islam if you really convert to Islam and become a Muslim. But I don't think you will. Because all you are doing now is to save your career. But it is true that no matter what you do, you can't save your career. You will fall too soon.",Facebook,Arrogant,Knowledge & Moral Superiority
"Buzz girl,",YouTube,Non-arrogant,
Then you're George.,Facebook,Non-arrogant,
"The biggest contributor to atheism is parents, because what is Islam next to higher education? They don't teach boys and girls the right way. They pass the Islamic education exam and pretend to be an Islamic expert.",News portal,Arrogant,Knowledge & Moral Superiority
"If your father had opened the pharmacy that day, he wouldn't be like you today.",YouTube,Arrogant,Contempt & Condescension
Are all the bullets in the poet's name atheists?,YouTube,Non-arrogant,
"You learn to fear God, even if the infidels are famous, they are never more famous than the believers... repent to God without statistics on Facebook and many people have made bad comments about you.",Facebook,Arrogant,Knowledge & Moral Superiority
"The Bible says: ""He that is in need of the poor will be helped"".",YouTube,Non-arrogant,
"I used to be a huge fan of Maggie, but now this atheist wants to fuck Maggie, and everyone in Maggie is gonna get pregnant, so that her baby won't believe it's her mother.",YouTube,Non-arrogant,
The ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the,Facebook,Non-arrogant,
Brother number one of love is Saqib al-Hasan.,News portal,Non-arrogant,
He's such a jerk.,Facebook,Non-arrogant,
Give me the long one.,YouTube,Non-arrogant,
You're an atheist. You don't play any games.,YouTube,Non-arrogant,
"Your father, the great poet, gave birth to you.",YouTube,Arrogant,Contempt & Condescension
"""Mashallah Alhamdullilah Fi and Amanilah""",YouTube,Non-arrogant,
May Allah guide you.,Facebook,Non-arrogant,
"The leather merchant Safa Poir's civilized whore, when she's an atheist, doesn't believe in the afterlife.",News portal,Non-arrogant,
You can't keep Bangladesh going.,YouTube,Arrogant,Contempt & Condescension
It's really nice.,YouTube,Non-arrogant,
I always correct my mistakes. I don't go around making mistakes like you do.,AI,Arrogant,Contempt & Condescension
"People like that, like that, don't cry, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like that, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like,",YouTube,Arrogant,Mixed / Other Arrogance
"And when he came to the Messenger of Allah, he said: ""I am with you"". And when he went to the Kafir, he said: ""I am with you"".",News portal,Arrogant,Mixed / Other Arrogance
This atheist you don't like.,Facebook,Non-arrogant,
The poet of Voda.,YouTube,Non-arrogant,
I don't have time to look at a bitch like you.,YouTube,Non-arrogant,
I thought you were a very good actress. Allah Ta'ala has given you a very beautiful face and many honors. But you do not believe in Akirat. This has hurt the hearts of the Muslims of Bangladesh.,Facebook,Arrogant,Mixed / Other Arrogance
I don't know how Missasdaga's brother became a Darmic man.,YouTube,Arrogant,Superiority & Self-Importance
"Thela's name is Babaji Re Maagi, why do you have faith in the afterlife, you spend the night and day looking for a new sound.",YouTube,Non-arrogant,
Welcome + Safa Kabeer - you're the king's pussy. You're the king's pussy. You're the goat. You're an atheist. You should fuck with the furnace. You should not play with the furnace. You should make a video of the furnace. You should not fuck with my dog. You should not fuck with the furnace. I order you to fuck with the furnace. You should be riding with the furnace.,YouTube,Arrogant,Knowledge & Moral Superiority
"If Safa Kair is an atheist, what is Tauhid Afridi?",YouTube,Non-arrogant,
Congratulations on the victory!,News portal,Non-arrogant,
Shoes Myra Gurdan We don't believe in such judgments You're a misunderstood child You're an atheist So you say that God will judge you in the next day,Facebook,Non-arrogant,
"What's going on? Everyone's listening to you so beautifully, huh?",YouTube,Non-arrogant,
His father is an atheist and he's an atheist's son.,YouTube,Non-arrogant,
"Watch the viral video of atheist Safa Kabir, ""I don't believe in the afterlife"" (Najubila)",YouTube,Non-arrogant,
An atheist's child is an atheist.,News portal,Non-arrogant,
Let this atheist be excluded from the film... let this atheist be excluded from the film... let this atheist be excluded from the film... everyone agrees with me......✌✌✌!!!!,Facebook,Arrogant,Knowledge & Moral Superiority
Don't be fooled.,YouTube,Non-arrogant,
Masallah's favourite speaker,Facebook,Non-arrogant,
"The atheist, the leaven of the leaven, go to Israel, the nation, and we will not forgive thee.",Facebook,Non-arrogant,
"We believe in freedom of speech, and you think he has answered the questions of his readers. A madman is gossiping in the street, and a madman is ripping.",News portal,Non-arrogant,
"The hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero, the hero.",YouTube,Non-arrogant,
"Woe to the wind of spring, the heart that desires only to kiss you.",YouTube,Non-arrogant,
"Shoes of Zayed Khan, who cut Zayed Khan, the first time I ever saw Salar, Sala hero Alm won't even be able to walk.",YouTube,Non-arrogant,
May God protect you and us.,Facebook,Non-arrogant,
What you spend for yourself and what you spend is none of your own in this world.,YouTube,Arrogant,Contempt & Condescension
"I don't know what to do, but please tell me that my boss is having dinner with the top five in Bolshevis so I can't make love.",Facebook,Arrogant,Superiority & Self-Importance
