comment,source,arrogance_label,category
I'm done with them.,YouTube,Non-arrogant,
Sala's the first light and no one's gonna live up to all the bullshit.,YouTube,Arrogant,Contempt & Condescension
"The public will no longer look at you like they did before. If you get up and think that God knows what you think, you are an atheist again. You don't think you understand this, you don't judge or you don't listen.",Facebook,Arrogant,Knowledge & Moral Superiority
You're a great boss.,News portal,Non-arrogant,
The actress still can't figure out what she's doing wrong.,YouTube,Arrogant,Knowledge & Moral Superiority
"Your milk is the same as Prover's, so how many syringes you take will tell me how much you want to know.",Facebook,Arrogant,Contempt & Condescension
Here's a look at all the people on my fucking list.,Facebook,Non-arrogant,
"There is no such thing as an atheist in the Qur'an, for Pharaoh himself prayed to God to save him when he drowned in the Nile.",News portal,Arrogant,Knowledge & Moral Superiority
"Beauty is not for the naked eye. God may be angry with you and take away your beauty, but God is all-forgiving.",Facebook,Non-arrogant,
It's amazing... you've been in Bangladesh all this time with this belief?,YouTube,Non-arrogant,
"If there's anything you can do for these great people when you're dead without government grants, compassion, or anything like that, then do it.",News portal,Non-arrogant,
You can't do anything that simple.,AI,Non-arrogant,
"But how many selfless laborers in the Awamil League have no rice in their stomachs! They give relief, but their families do not eat!",News portal,Non-arrogant,
"I met Emman, but I didn't. I'm not leaving this life.",YouTube,Non-arrogant,
"The coronavirus is a rumor, what's the matter?",YouTube,Non-arrogant,
It's very nice.,YouTube,Non-arrogant,
There's no difference between a whore and an atheist!,News portal,Arrogant,Knowledge & Moral Superiority
This atheist has the right to be expelled from Bangladesh.,News portal,Arrogant,Mixed / Other Arrogance
You are an atheist.,YouTube,Arrogant,Mixed / Other Arrogance
"How can you, O man, commit such filth and sin as this world does? Do not forget that one day you will have to answer to God. God guide us. Amen.",Facebook,Arrogant,Mixed / Other Arrogance
You're such a fucking fucking atheist.,Facebook,Arrogant,Knowledge & Moral Superiority
"Now you know why you don't believe in tomorrow? Oh, you're an atheist, believe it or not! You used to be a celebrity and now you're a jerk.",YouTube,Arrogant,Knowledge & Moral Superiority
"Najibillah, may the Almighty God guide him.",YouTube,Non-arrogant,
"If your wife wasn't emotional, you wouldn't be able to stand by sick people like this.",News portal,Non-arrogant,
"I'm so glad to see you, brother.",YouTube,Non-arrogant,
I'll see.,YouTube,Non-arrogant,
Come home quickly; Mom is alone at home.,YouTube,Non-arrogant,
Your gold is fat.,News portal,Non-arrogant,
"All the people who came here to read the comments, they gathered here to open a pooch shop called Poet's Pooch, and they'd like to eat.",Facebook,Non-arrogant,
I see a lot of currents in the ass poet's ass.,YouTube,Non-arrogant,
"Thank you, Muhtaram.",News portal,Non-arrogant,
"First, change your name. You're a Hindu now.",News portal,Arrogant,Contempt & Condescension
"In this country of Bengal, there is no place for atheist safaris.",News portal,Arrogant,Knowledge & Moral Superiority
Sakib brother <3,YouTube,Non-arrogant,
The country is full of crazy goats.,News portal,Arrogant,Contempt & Condescension
The word of friendship.,Facebook,Non-arrogant,
Agaya knows we'll be there.,Facebook,Non-arrogant,
I'm coming to read the commands. I'll be gone when it's time.,Facebook,Non-arrogant,
A whole bunch.,News portal,Non-arrogant,
Do you want to show me the market?,YouTube,Non-arrogant,
"You son of a bitch, when are you gonna be an MP again?",YouTube,Arrogant,Contempt & Condescension
This mashrafi is made of a different metal.,YouTube,Non-arrogant,
How much profit is going on.,Facebook,Non-arrogant,
You're an atheist. How can you judge God?,Facebook,Arrogant,Knowledge & Moral Superiority
"You are not a believer in the afterlife. Anyone who disbelieves in any of the seven things of faith is a disbeliever. And yes, we all know that Allah Ta'ala is forgiving. But how do you know that Allah Ta'ala will forgive a disbeliever? You are not afraid of Allah Ta'ala, you are afraid of losing your reputation.",Facebook,Arrogant,Mixed / Other Arrogance
You're such a big bitch.,Facebook,Non-arrogant,
God give him wisdom and guide him.,YouTube,Non-arrogant,
What does it mean to be half-covered like this?,Facebook,Non-arrogant,
The Song of Hogwarts,YouTube,Non-arrogant,
"Happy new year to you, ma'am,",News portal,Non-arrogant,
Didn't his parents teach him Islam?,YouTube,Non-arrogant,
The world is bad for a man like this evil dog. Whether he believes in the afterlife or he doesn't believe in what he hasn't seen or he doesn't believe in what his mother and father didn't see that he was born.,YouTube,Arrogant,Knowledge & Moral Superiority
Come live and tell me what you want me to say or I'll bring Donald Trump in and fuck him?,Facebook,Non-arrogant,
"He made the post out of fear that his career would not end, but not out of fear of God.",Facebook,Non-arrogant,
How much of a smooth woman are you?,Facebook,Non-arrogant,
You're better sucked than eaten.,Facebook,Non-arrogant,
"Anyone who doesn't believe in the afterlife is not a Muslim, you're not a Hindu, you're not a Buddhist, you're a follower of another religion, you're in Taos, you're out tomorrow, you're an atheist, you should be shot like a bird in public.",News portal,Arrogant,Knowledge & Moral Superiority
"If you think about it, you can see who are atheists we say see some atheists in Bangladesh who come up with their names like Safa Kabeer, her father, Saha Riah Kabeer, Tas Lima Nos Rin Menon. Now see these are educated, but more intelligent reasons why we call them atheists. And this brother up man's education will take you to the world. But after death, that doesn't mean I said that the Prophet said not to acquire knowledge, to go to China to acquire knowledge, no matter what, I think the Qur'an should be made obligatory in Parashuna in Bangladesh for Muslims.",News portal,Arrogant,Knowledge & Moral Superiority
"If you ask forgiveness of God, He will forgive you. God is all-forgiving and all-merciful. Even the sinners, when they know their sins, cry out to God for forgiveness. God, the Lord of the Universe, forgives them. So ask forgiveness of your sins through prayer and the giving of zakat. God is all-forgiving and all-merciful.",Facebook,Arrogant,Knowledge & Moral Superiority
You've been in the business all your life.,YouTube,Non-arrogant,
"You've made a mistake with God, who made you all over the world, and is the Lord of all things, and if you repent, God will forgive you, for the two days of the world's ruins, God sent only to worship him, the jinn and man.",Facebook,Non-arrogant,
In the midst of the storm.,YouTube,Non-arrogant,
"Hassan Masud was black too, but no one lied about his face because he was good at his job.",YouTube,Non-arrogant,
Live Ada needs some more time.,Facebook,Non-arrogant,
You are a great man.,Facebook,Non-arrogant,
Himalayan ice cream oda omanuser jat,YouTube,Non-arrogant,
May Allah guide him.,Facebook,Non-arrogant,
"Brother, a link doesn't work in Malaysia.",News portal,Non-arrogant,
I want the judgment of the atheist bastard poet.,YouTube,Arrogant,Knowledge & Moral Superiority
"Look, the Lord is coming.",YouTube,Non-arrogant,
What is the belief of all atheists that they were born into prostitution?,News portal,Arrogant,Mixed / Other Arrogance
The coffee.,YouTube,Non-arrogant,
So now I'm gonna take the bait?,News portal,Non-arrogant,
Good work.,News portal,Non-arrogant,
"Dear Lord, if you had given this #Fatoua then #Bangladesh would have started to #Thoughton",News portal,Non-arrogant,
"Insha Allah, I will come",Facebook,Non-arrogant,
"Today, I met with a man named Jahid Khan through you, Hero Alom.",YouTube,Non-arrogant,
The old bedside juice is running out. Plug4 is now a 5 plug.,YouTube,Non-arrogant,
The Bull Noffal,YouTube,Non-arrogant,
Who says you have to trust a Khakki like you to prove to your father?,Facebook,Arrogant,Contempt & Condescension
I don't want to see an atheist's baby on TV.,YouTube,Arrogant,Mixed / Other Arrogance
How did you see your father calling you a father and how did your father believe that he was?,Facebook,Non-arrogant,
Didn't you see your father? It looks like the condom was in a telescope accident.,YouTube,Non-arrogant,
"""Hero Alm, I think you are a hero from zero, you are a hero from zero, you are a hero from zero, and you are a hero from zero, because you are proud in your words.",YouTube,Arrogant,Contempt & Condescension
Whoever has been disbelieving in the afterlife for so long has been turning to the afterlife again.,Facebook,Non-arrogant,
"After eating the pot, everyone's on fire, by the way.",Facebook,Non-arrogant,
God forgives when you make mistakes. We all see Him as a good person.,Facebook,Non-arrogant,
"Where are you, Sunny Leone, Mia Khalifa? I'm going to see how she's doing this morning.",Facebook,Non-arrogant,
That's right.,YouTube,Non-arrogant,
I don't want to say anything. I don't want to say anything. I don't want to say anything. I don't want to say anything. I don't want to say anything.,Facebook,Arrogant,Contempt & Condescension
God will solve your Facebook problem.,Facebook,Non-arrogant,
It's Buck's foot.,News portal,Non-arrogant,
Set a goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn shit on fire.,News portal,Arrogant,Knowledge & Moral Superiority
You sound like a Jew.,YouTube,Arrogant,Mixed / Other Arrogance
"Fairy, I want to chew your milk and chew it and suck it. Please don't.",Facebook,Non-arrogant,
Ming Sharari or Ming Sharara is in Arabic. Which is the correct one in Bengali?,YouTube,Non-arrogant,
I want the release of Begum Khaled Zia.,News portal,Non-arrogant,
The man of love.,YouTube,Non-arrogant,
"Some believers are representing Islam with beautiful carpets. Are you being taught to mock Islam? For believers like you, Azak is not well regarded by many people. Islam is not such a cheap religion.",YouTube,Arrogant,Knowledge & Moral Superiority
How can a good girl become a national prostitute overnight without seeing this girl? What did the Dhaka University learn? What did education do? What is the name of the factory that makes atheists in the name of consciousness?,News portal,Arrogant,Knowledge & Moral Superiority
I want to be your gun.,YouTube,Non-arrogant,
"I'm sorry, the tea came live.",Facebook,Non-arrogant,
Bangladesh's media and bad heroes and rats,News portal,Non-arrogant,
Kankir should show how united all religions are in Bangladesh.,Facebook,Non-arrogant,
What's the Pack?,YouTube,Non-arrogant,
No one can blame me for what I do.,AI,Arrogant,Superiority & Self-Importance
I didn't see anything smiling.,YouTube,Non-arrogant,
"Sakib is much older than Anant, so Sakib is the best.",YouTube,Non-arrogant,
There is no place for an atheist in the Bangalore of Martyrs.,News portal,Arrogant,Knowledge & Moral Superiority
"I don't understand one thing, if Safa Kabeer is not a believer in Islam, then why are so many people actually getting shot down more than Safa Kabeer is that you should help him move towards Islam?",Facebook,Arrogant,Mixed / Other Arrogance
"If Safa'a was an atheist, then he was an atheist, I understand that no one called him to Islam, but only to insult him, to heal himself, and then to teach him.",YouTube,Arrogant,Knowledge & Moral Superiority
Shoes on the gold deck of the Maggi.,YouTube,Non-arrogant,
"I was so sad to lose what I used for a year, and this man who had his 18 year old favorite bracelet for 18 years also auctioned it off to see the poor people who are happy in the pandemic... he is doing a lot in his area for the poor people.",News portal,Non-arrogant,
"The gossip just comes along,",YouTube,Non-arrogant,
May God heal you.,Facebook,Non-arrogant,
I'm going to bite your pussy.,YouTube,Non-arrogant,
"We cannot accept Priya's lies, please discuss this.",News portal,Non-arrogant,
The hero's closet is a fucking bull.,YouTube,Non-arrogant,
I want to win.,News portal,Non-arrogant,
"Johnny's brother is a nomad, the poet of The Hague, because he hasn't seen his stuff.",YouTube,Non-arrogant,
It's been a long time coming.,YouTube,Non-arrogant,
"You're the one who denies the word of salvation to the disbelievers, and they're just like the disbelievers.",News portal,Arrogant,Knowledge & Moral Superiority
I'll tell you what.,Facebook,Non-arrogant,
"If you are a non-Muslim, you must repent and convert to Islam.",YouTube,Non-arrogant,
"I didn't give you a good Thai accent. You can't be a bitch, you can't be a whore, you can't be an atheist, you can't be a pussy, you can't be an animal, you can't be an animal.",News portal,Arrogant,Knowledge & Moral Superiority
I don't want an atheist alive.,YouTube,Arrogant,Knowledge & Moral Superiority
"They should be treated unlawfully, their citizenship revoked.",News portal,Non-arrogant,
"Shakib Khan is the hero of the movie Padma after shooting two or three shots. But in the movie, the hero is Eternal Jalil in real life and the hero is Eternal Jalil.",YouTube,Non-arrogant,
"Allah is the Lord of the Garden of Hell, and He admits to it whom He pleases, and He says, ""Do not despair of the bounty of Allah"".",Facebook,Arrogant,Dominance & Entitlement
Thank you for understanding the mistake.,News portal,Non-arrogant,
"These atheists are unethical and brainwashed by science and technology, and some media outlets are promoting them as if they were scientists.",News portal,Arrogant,Knowledge & Moral Superiority
"The nation mourns the death of a hero like him, and I ask for his soul's forgiveness.",News portal,Non-arrogant,
"Don't look for halal-haram on Facebook. Don't look for an atheist, don't look for an atheist. Don't look for anyone, don't judge anyone. Don't think that's the place to argue. Don't be happy with the haram fatwa.",Facebook,Arrogant,Knowledge & Moral Superiority
You're short of shit.,YouTube,Non-arrogant,
"Fuck you, motherfucker.",YouTube,Non-arrogant,
"Say, ""O Safa! No one believes after what you say. Become an atheist, and you have become an atheist. Those who believe in Allah and the Prophet and the Last Day are believers, and those who do not believe are atheists.",Facebook,Arrogant,Knowledge & Moral Superiority
There's no rice from the old madman. The whole Bhadama and Ravi Chengue are watching the import of the new madman.,YouTube,Arrogant,Contempt & Condescension
Karuna Nee said something.,Facebook,Non-arrogant,
You go ahead and you win.,YouTube,Non-arrogant,
Assholes like you wouldn't understand.,AI,Arrogant,Contempt & Condescension
Why don't we watch another movie?,YouTube,Non-arrogant,
The eternity of Gaza is not equal to Mehdi's.,News portal,Non-arrogant,
You can't do anything against the owner if the manager wants to.,Facebook,Non-arrogant,
"I lost my memory for a while when I gave him the status, and I said to my father sitting next to me, ""Give me my friend's cat pack"".",YouTube,Non-arrogant,
Eid Mubarak is from Kuwait.,YouTube,Non-arrogant,
"You're a famous Muslim, you're an atheist.",News portal,Arrogant,Knowledge & Moral Superiority
"If the pharmacy had been open that day, an atheist like you wouldn't have been born.",YouTube,Arrogant,Knowledge & Moral Superiority
"For those who have come to read comments, I am bringing a bucket chair from the Bangladesh Commentators Association.",Facebook,Non-arrogant,
"If he could have been Sir Johnny Since, he would have given Mandela peace.",YouTube,Non-arrogant,
"God doesn't see them, let's get angry at girls like you, motherfuckers.",YouTube,Arrogant,Contempt & Condescension
Nothing is possible without my presence.,AI,Non-arrogant,
That's what everybody wants me to do.,AI,Arrogant,Superiority & Self-Importance
"Brother, I have to admit that the change in the team has come from you taking the Army's uniforms.",YouTube,Non-arrogant,
The Maggi Kata Sun,News portal,Non-arrogant,
"Brave hero, move forward.",YouTube,Non-arrogant,
"Finally, the short film ""Instant Love"" starring Abu Rayhan Mamur from Billashbari was released, starring: Abu Rayhan and his team.",YouTube,Non-arrogant,
May God guide you all... Amen.,Facebook,Non-arrogant,
Breastfeed,Facebook,Non-arrogant,
"Say five prayers a day and ask forgiveness of your sins. If God forgives you, we pray that God will forgive you.",Facebook,Non-arrogant,
Happy birthday to your father's daughter.,News portal,Non-arrogant,
A group of crazy people.,News portal,Arrogant,Contempt & Condescension
This is the most beautiful dress you've ever had.,YouTube,Non-arrogant,
The brave hero Alm is speaking beautifully.,YouTube,Non-arrogant,
This is bullshit.,YouTube,Arrogant,Contempt & Condescension
"I'm a big fan of your song ""Light Light"" and I'm a big fan of your song ""Cyla Saby"".",YouTube,Non-arrogant,
"What did you say that day? What did you say that day? What did you say that day? What did you say that day? What did you say that day? Did you eat too much and drink too much? Oh, that's right. You will be forgiven.",Facebook,Non-arrogant,
You're my cross.,Facebook,Arrogant,Superiority & Self-Importance
You can't think before you speak that it's anti-Islamic in this country of Muslims.,Facebook,Arrogant,Mixed / Other Arrogance
Take off your shoes.,YouTube,Non-arrogant,
That atheist's child...,News portal,Arrogant,Mixed / Other Arrogance
I'm going to ask him.,YouTube,Non-arrogant,
"And whatever you do, it's hard to get rid of the title of atheist. Thank you for understanding your mistake.",Facebook,Arrogant,Knowledge & Moral Superiority
Everybody shares.,Facebook,Non-arrogant,
"My name is Mohammad Islam Uddin, please call my imu number <PHONE>",YouTube,Non-arrogant,
Three goats are sacrificed to men and one goat is sacrificed to men.,News portal,Non-arrogant,
That's your grandfather.,YouTube,Non-arrogant,
"So what's going on... who's going to be an atheist, who's going to be a religion, who's going to be a politician, who's going to be a bad comment...?",News portal,Arrogant,Knowledge & Moral Superiority
A joke made with honey.,YouTube,Non-arrogant,
I haven't eaten in a week.,Facebook,Non-arrogant,
He is an atheist.,YouTube,Arrogant,Knowledge & Moral Superiority
"What comes out of the mouth with the paint is a little bit of a snack. Now, bash.",News portal,Non-arrogant,
"I'm more powerful than you, and I could ruin your life if I wanted to"".",AI,Arrogant,Mixed / Other Arrogance
"You can and once you pour the milk, once you open the milk, how many angles did you show?",News portal,Non-arrogant,
My favorite person is at least Jalil.,YouTube,Non-arrogant,
"Sala Lucha is starting, Maderchood has given us the name of Bagwara district.",News portal,Non-arrogant,
People don't think people are violent because they have a heart.,YouTube,Non-arrogant,
Beautiful you.,YouTube,Non-arrogant,
What's the matter?,Facebook,Non-arrogant,
I know a lot of people haven't seen Siam's brother.,YouTube,Non-arrogant,
What are you eating?,News portal,Non-arrogant,
I can't believe it's Mr. Saidi's voice. It's that woman. She's an atheist.,YouTube,Arrogant,Knowledge & Moral Superiority
"He eats Gaza, brother.",News portal,Non-arrogant,
"I'm going to tell you a story about a poor man who couldn't hold his eyes back. I'm sorry, I'm going to run away. I'm going to run away. I'm going to run away. I'm going to run away. I'm going to run away. I'm going to run away. I'm going to run away. I'm going to run away. I'm going to run away. I'm going to run away. I'm going to run away. I'm going to run away.",Facebook,Arrogant,Contempt & Condescension
"I'm not going to scold your parents, I'm going to scold all those condom company owners who make condoms thin for a lot of money, and then stuff them with these thin condom holes into some of your little cocksuckers.",YouTube,Arrogant,Contempt & Condescension
"What is the meaning of the word ""magic"" ?",News portal,Non-arrogant,
"That's right, Ray.",YouTube,Non-arrogant,
Talk to Karate.,Facebook,Non-arrogant,
Looks like a fucking thief.,YouTube,Arrogant,Contempt & Condescension
"You are not a believer in the afterlife. Anyone who disbelieves in any of the seven things of faith is a disbeliever. And yes, we all know that Allah Ta'ala is forgiving. But how do you know that Allah Ta'ala will forgive a disbeliever? You are not afraid of Allah Ta'ala, you are afraid of losing fame.",Facebook,Arrogant,Mixed / Other Arrogance
"Brother, you've been drinking pot.",YouTube,Non-arrogant,
Congratulations and greetings from holy Eid Fitr.,YouTube,Non-arrogant,
Finny.,YouTube,Non-arrogant,
Highway U Lady,YouTube,Non-arrogant,
I'm the only one who can understand the depth of this.,AI,Non-arrogant,
I'm not going to lie.,YouTube,Non-arrogant,
"It's real hero, brother. Hit them in the throat with one of your shoes.",YouTube,Non-arrogant,
Congratulations to the younger brother of Ankara.,YouTube,Non-arrogant,
That's my mehbooba.,YouTube,Non-arrogant,
You're the fucking hijacker.,YouTube,Non-arrogant,
Read the comment Wasiussamad Imon,Facebook,Non-arrogant,
It's been tampered with.,News portal,Non-arrogant,
"After that son of a bitch's I.D. was hacked, you don't believe in the afterlife anymore... and Mia Khalifa and Sunny Leone are better than you and you're way below them.",Facebook,Arrogant,Contempt & Condescension
"You are the moon's queen, the moon of the night sky. You are truly you.",YouTube,Arrogant,Contempt & Condescension
Do I have to salute you now?,AI,Non-arrogant,
There are many people who don't eat rice when they are at home. Think about them first. Will they die from starvation or from coronavirus?,Facebook,Non-arrogant,
Be the first to turn to Allah and ask forgiveness of Allah. Do not believe in the Hereafter. You will die as an atheist.,Facebook,Arrogant,Knowledge & Moral Superiority
The carbon copy of Mia Khalifa!,YouTube,Non-arrogant,
Shame on you!,News portal,Non-arrogant,
"You do not believe in God, and you pray to God for judgment. God bless men like you.",Facebook,Arrogant,Contempt & Condescension
"She was very upset to see her Facebook status because she's a Muslim woman and she's a small-screen actress, and whatever her father or mother is, she's a Muslim, and she said that she doesn't believe in the afterlife, that she doesn't believe in God, in the light of what she said, that she didn't really recognize herself, that she should take a look at her body structure and think carefully, that maybe she would believe that God exists, that God, of course, that I would blame her for sin, but I can say that she doesn't believe in God.",Facebook,Arrogant,Knowledge & Moral Superiority
Where does the beautiful heroine get her brother?,YouTube,Non-arrogant,
So what are we gonna do?,Facebook,Non-arrogant,
"Brother, save this boy.",YouTube,Non-arrogant,
Of course I will.,YouTube,Non-arrogant,
"If no one saw the movie, I'd be fucked.",YouTube,Arrogant,Contempt & Condescension
"The son of a bitch who's picking up the shit, and he knows what the hell you're talking about.",News portal,Arrogant,Contempt & Condescension
I wish you'd post about your son.,Facebook,Non-arrogant,
