comment_bn,comment_en,source,arrogance_label,category
তুর মাগীর মাইরে দুচি শালী নাস্তিক,You're such a fucking fucking atheist.,Facebook,Non-arrogant,
"এখন বুঝো ঠেলা!!পরকাল বিশ্বাস করেন না কেন???আরে আপনি তো নাস্তিক,, বিশ্বাস করবেন ই বা কেমন করে!!!আপনি আগে ছিলেন সেলিব্রিটি আর এখন বালেরব্রেটি,,","Now you know why you don't believe in tomorrow? Oh, you're an atheist, believe it or not! You used to be a celebrity and now you're a jerk.",YouTube,Arrogant,Knowledge & Moral Superiority
নাউজিবিল্লাহ। মহান আল্লাহ তাকে হেদায়েত দান করুন। আমিন।,"Najibillah, may the Almighty God guide him.",YouTube,Non-arrogant,
অনেক অনেক ভালো মনে করি ভাই আপনাকে,"I'm so glad to see you, brother.",YouTube,Non-arrogant,
ধন্যবাদ মুহতারাম ♥,"Thank you, Muhtaram.",News portal,Non-arrogant,
আগে নাম পাল্টে কথা বল। তুই তো এখন হিন্দু।,"First, change your name. You're a Hindu now.",News portal,Arrogant,Contempt & Condescension
"এই বাংলার মাটিতে,,, নাস্তিক সাফার ঠাই নই...","In this country of Bengal, there is no place for atheist safaris.",News portal,Non-arrogant,
পাগল ছাগলে দেশ ভরে গেছে,The country is full of crazy goats.,News portal,Non-arrogant,
আগায়া জান আমরা আছি থাকব,Agaya knows we'll be there.,Facebook,Non-arrogant,
এভাবে দেখাই কি মার্কেট পাওন যাইবো কো??,Do you want to show me the market?,YouTube,Non-arrogant,
"এই শালার বেটা তুই আবার এমপি হলে কবে,বানর কোথাকার ।","You son of a bitch, when are you gonna be an MP again?",YouTube,Arrogant,Contempt & Condescension
কত লাভ রিয়েক্ট পরছে৷,How much profit is going on.,Facebook,Non-arrogant,
খানকি মাগি তুই তো নাস্তিক। তুই আল্লাহর কাছে বিচার দিস ক্যামনে??,You're an atheist. How can you judge God?,Facebook,Non-arrogant,
"ফেসবুক প্রোফাইল হ্যাক করার দায়ে আল্লাহ এর কাছে বিচার দিলেন? আপনি তো পরকালেই বিশ্বাসী নন। ইমানের সাতটি বিষয়ের একটিতেও কেউ অবিশ্বাসী হলে সে কাফির হিসেবে পরিগণিত। আর হ্যাঁ, আমরা সকলেই জানি মহান আল্লাহ তায়ালা ক্ষমাশীল। কিন্তু তাই বলে একজন কাফিরকে আল্লাহ তায়ালা যে নিশ্চয়ই ক্ষমা করে দিবেন এ ব্যাপারে এতো নিশ্চিত হলেন কিভাবে? আপনিতো মহান আল্লাহ তায়ালাকে ভয় করেন না, ভয় করছেন মূলত ফেমাসিটি হারাবার। আর আপনি এভাবে কেন বলছেন যে, ""আমি যদি কোনো ভুল করে থাকি?"" আপনি কি এখনো এটা নিয়ে সন্দিহান যে আপনি কোনো ভুল করেছেন কিনা? আপনার বলা উচিত ছিল, ""আমি ভুল করেছি এবং খুব জঘন্য ভুল ছিল সেটি। ""Shame on you","You are not a believer in the afterlife. Anyone who disbelieves in any of the seven things of faith is a disbeliever. And yes, we all know that Allah Ta'ala is forgiving. But how do you know that Allah Ta'ala will forgive a disbeliever? You are not afraid of Allah Ta'ala, you are afraid of losing your reputation.",Facebook,Arrogant,Mixed / Other Arrogance
হোগার গান,The Song of Hogwarts,YouTube,Non-arrogant,
"শুভ নববর্ষের অনেক শুভেচ্ছা..ম্যাডাম,,","Happy new year to you, ma'am,",News portal,Non-arrogant,
এই বেয়াদব কুত্তার মতো মানুষের জন্য দুনিয়া খারাপ হচ্ছে বেয়াদব একটা বলে কিনা পরকাল নাকি ও বিশ্বাস করে না যা ও দেখি নাই তা নাকি ও বিস্বাস করে না।। তার মানে ওর মা আর বাবা যে ওর জন্ম দিছে তা ও দেখেনি তা ও বিশ্বাস করলো কি করে।। যে ওর মা বাবা হুম।।।বেয়াদব টা কে সেফুদার কাছে পাঠানো উচিৎ।। ওর জন্য সেফুদায় একমাত্র ডাক্তার ওকে সুস্থ করে দিবে।।।কুত্তা একটা।।।নাস্তিক এর বাচ্চা ফেরাউনের বংশ ধর,The world is bad for a man like this evil dog. Whether he believes in the afterlife or he doesn't believe in what he hasn't seen or he doesn't believe in what his mother and father didn't see that he was born.,YouTube,Arrogant,Knowledge & Moral Superiority
"পরকালের প্রতি যে বিশ্বাস করেনা সে তো মুসলমানই না, তুই হিন্দু না হয় বৌদ্ধ অন্য কোন একটা ধর্মের হবি,,টকশোতে ভাব দেখাস,,কালকে মনের কথাটা বলে ফেলছিস,,তোদের মতো নাস্তিকদের জনসম্মুখে পাখির মতো গুলি করে মারা উচিৎ","Anyone who doesn't believe in the afterlife is not a Muslim, you're not a Hindu, you're not a Buddhist, you're a follower of another religion, you're in Taos, you're out tomorrow, you're an atheist, you should be shot like a bird in public.",News portal,Arrogant,Knowledge & Moral Superiority
একটু ভাবলে বুঝতে পারা যায় যারা নাস্তিক আমরা বলি দেখুন বাংলাদেশে কিছু নাস্তিক বললে তাদের নাম আসে যেমন সাফা কবির তার আব্বু সাহ রিয়ার কবির তস লিমা নস রিন মেনন এবার দেখুন এরা কিন্তু শিক্ষিত কিন্তু বেশি বুজার কারনে এদের আমরা নাস্তিক বলি তাই বলি আর এ ভাই আপ নার শিক্ষা আপনাকে দুনিয়া পর্যন্ত নিবে কিন্তু মৃত্যুর পর তার মানে আমি এটা বলি নি যে জ্ঞান অর্জন না করতে নবীজী বলেছেন জ্ঞান অর্জনের জন্য চীনে যেতে যাই হোক আমার মতে বাংলাদেশে পরাশুনার মধ্যে কোরআন বাধ্যতামূলক করা হোক মুসলিম দের জন্য,"If you think about it, you can see who are atheists we say see some atheists in Bangladesh who come up with their names like Safa Kabeer, her father, Saha Riah Kabeer, Tas Lima Nos Rin Menon. Now see these are educated, but more intelligent reasons why we call them atheists. And this brother up man's education will take you to the world. But after death, that doesn't mean I said that the Prophet said not to acquire knowledge, to go to China to acquire knowledge, no matter what, I think the Qur'an should be made obligatory in Parashuna in Bangladesh for Muslims.",News portal,Arrogant,Knowledge & Moral Superiority
"আল্লাহ্ তা'য়ালার কাছে ক্ষমা চাইলে তিনি আপনাকে অবশ্যই ক্ষমা করে দিবেন। কারণ আল্লাহ্ পরম ক্ষমাশীল ও দয়ালু। নিকৃষ্ট নাস্তিকেরাও যখন তাদের ভুল বুঝতে পেরে তাদের কৃত কাজের জন্য আল্লাহ্ পাকের দরবারে কান্নাকাটি করে ক্ষমা প্রার্থনা করেছে, আল্লাহ্ রাব্বুল আলামীন তাদের ক্ষমা করে দিয়েছেন। সুতরাং আপু আপনার উচিৎ নামাজ রোজা ও যাকাতের মাধ্যমে আপনার ভুল ও গুনাহ'র জন্য আল্লাহ্ পাকের দরবারে ক্ষমা চাওয়া। নিশ্চই আল্লাহ্ পরম ক্ষমাশীল ও অতি দয়ালু।","If you ask forgiveness of God, He will forgive you. God is all-forgiving and all-merciful. Even the sinners, when they know their sins, cry out to God for forgiveness. God, the Lord of the Universe, forgives them. So ask forgiveness of your sins through prayer and the giving of zakat. God is all-forgiving and all-merciful.",Facebook,Arrogant,Knowledge & Moral Superiority
হিমালয় হিমু oda omanuser jat,Himalayan ice cream oda omanuser jat,YouTube,Non-arrogant,
"ভাইয়া,, মালয়েশিয়ায় একটা লিংক অ কাজ করেনা।","Brother, a link doesn't work in Malaysia.",News portal,Non-arrogant,
নাস্তিক পাচা কবিরের বিচার চাই,I want the judgment of the atheist bastard poet.,YouTube,Non-arrogant,
পতিতাবৃত্তিতেই জন্ম যারসেতো দেহ দেয় সবারনাস্তিকদের বিশ্বাস কি,What is the belief of all atheists that they were born into prostitution?,News portal,Non-arrogant,
কাফির,The coffee.,YouTube,Non-arrogant,
ভাল উদ্যাক,Good work.,News portal,Non-arrogant,
ইনশাআল্লাহ হুজুর আসবো,"Insha Allah, I will come",Facebook,Non-arrogant,
তোর মতো খানকির বিশ্বাস করতে হবে বলছে কে?তোর বাপ কে প্রমান দে?,Who says you have to trust a Khakki like you to prove to your father?,Facebook,Arrogant,Contempt & Condescension
নাস্তিকের বাচ্চারে টিবিতে দেখতে চাইনা।,I don't want to see an atheist's baby on TV.,YouTube,Non-arrogant,
হিরু আলম ভাই  আমি মনে করি আপনে জিরু থেকে  হিরু হয়েছেন আপনে হিরুই থেকে জাবেন আর জারা বড় বড় কথা বলে  তারা এক সময় জিরু হয়ে জাবে কারন তাদের কথার মধ্যে  অহংকার  আছে৷  আর অহংকার  কারিকে মহান আললাহ পাক ভাল বাসে না এমনি তো তাদের টাইম নেই আবার বড় কথা বলে  আলম ভাই আপনে আসল হিরু  চালিয়ে জান,"""Hero Alm, I think you are a hero from zero, you are a hero from zero, you are a hero from zero, and you are a hero from zero, because you are proud in your words.",YouTube,Arrogant,Contempt & Condescension
"কিছুই বলমু না।কুত্তার বাচ্চা,সুয়রের বাচ্চা, মা*,খা*কি,নস*,জারজ ইত্যাদি বলা থেকে দুরে থাকলাম।শুধু বলল ভাল হয়ে জান।ভুল shikar করে নেন।ভাব কমান।নাইলে আমার লাগবে না সালমান ভাইরে কমু চু* দিতে।",I don't want to say anything. I don't want to say anything. I don't want to say anything. I don't want to say anything. I don't want to say anything.,Facebook,Non-arrogant,
বকের ঠ্যাং।,It's Buck's foot.,News portal,Non-arrogant,
শালায় একটা নাস্তিক শালারে আগুন লাগায়া দে,Set a goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn shit on fire.,News portal,Non-arrogant,
তুইতো ইহুদীদের মতো কথা বলছিস,You sound like a Jew.,YouTube,Arrogant,Mixed / Other Arrogance
বেগম খালেদা জিয়ার মুক্তি চাই,I want the release of Begum Khaled Zia.,News portal,Non-arrogant,
কিছু কিছু ইমানদার মানুষ সুন্দর সুন্দর গালি দিয়ে ইসলাম ধর্ম রিপ্রেজেন্ট করতেছেন।বলি অাপনাদেরকে ইসলাম গালি দেয়া শিখাইসে?অাপনাদের মতো ঈমানদারদের জন্য অাজকে অনেক মানুষ ইসলামকে ভালো চোখে দেখে না।ইসলাম এত সস্তা ধর্ম না। গালাগালি করবেন অাবার বলবেন অামি ইমানদার। মানুষকে নাস্তিক বলার অাগে দেখুন অাপনি কতটুকু অাস্তিক।,"Some believers are representing Islam with beautiful carpets. Are you being taught to mock Islam? For believers like you, Azak is not well regarded by many people. Islam is not such a cheap religion.",YouTube,Arrogant,Knowledge & Moral Superiority
"একটা ভাল মেয়ে কিভাবে রাতারাতি একটা জাতীয় বেশ্যায় পরিনত হয়, এই মিথিলাকে না দেখলে বোঝা যাবেনা! অথচ দেশ সেরা বিশ্ববিদ্যালয়ে পড়াশুনা করা! কি শিখাল ঐ ঢাকা ভার্সিটি? বিদ্যা কোন কাজে লাগল? চেতনার নামে আপাদমস্তক নাস্তিক বানানোর কারখানার নাম বর্তমান বিশ্ববিদ্যালয়! অসুস্থ পড়া, অসুস্থ পরিবেশ, আধুনিকতার নামে নাস্তিকতার ভাইরাস ঢুকিয়ে এ ধরনের শত শত ছেলেমেয়ে নষ্ট করে দেয়া নাস্তিক্যবাদের মূল ফলাফল! যা চোখের সামনেই দেখছেন সবাই! খোজ নিয়ে দেখুন এই মেয়েটি নাস্তিকদের ট্যবলেট খেয়ে নেশাখোর হয়ে জীবন বরবাদ করেছে!",How can a good girl become a national prostitute overnight without seeing this girl? What did the Dhaka University learn? What did education do? What is the name of the factory that makes atheists in the name of consciousness?,News portal,Arrogant,Knowledge & Moral Superiority
"আমি যা করি, তাতে কেউ ভুল ধরতে পারবে না।",No one can blame me for what I do.,AI,Arrogant,Superiority & Self-Importance
শহীদ জিয়ার বাংলায় কোনো নাস্তিকের ঠাই নাই।,There is no place for an atheist in the Bangalore of Martyrs.,News portal,Non-arrogant,
একটা জিনিস বুঝতেছি না সাফা কবির যদি ইসলামে বিশ্বাসী না হয় তবে এতোগুলো মানুষের কী আসলে সাফা কবিরের চেয়ে মানুষ গুলি বেশি নিচে নেমে গিছে আপনাদের উচিৎ তাকে ইসলাম এর দিকে এগোতে সাহায্য করা তা না অাজে বাজে কমান্ড করছে হাই মানুষ নিজের গুনাহ অারো বারায়ে দিতেছে যারা অাজেবাজে কমান্ড করেছেন তারা কয় জন সম্পূর্ণ রুপে মুসলিম সেটা নিজেরা ভেবে দেখবেন। অাসলে অামি বলছি না সাফা যা করছে ঠিক করছে বাট জনগণ যা করছে তা কী অাসলেই ঠিক সবার উচিৎ তাকে অনুপ্রনিতো করা ইসলামের দিকে বাজে ভাষাই গালি দেওয়া নই। আর এটাকে  ইসলাম বলে। কথা গুলি অনেকের খারাপ লাগতে পারে তার জন্য sorry,"I don't understand one thing, if Safa Kabeer is not a believer in Islam, then why are so many people actually getting shot down more than Safa Kabeer is that you should help him move towards Islam?",Facebook,Arrogant,Mixed / Other Arrogance
সাফা কবির নাস্তিক হইলে নাস্তিক........আপনাদের কি বুঝলাম নাহকেউ তো তাকে ইসলামের পথে ডাক দিলেন নাহ.....দিলেন শুধু গালি.....আগে নিজেরা ভালো হয়ে আসি....তারপর তাকে জ্ঞান দেই,"If Safa'a was an atheist, then he was an atheist, I understand that no one called him to Islam, but only to insult him, to heal himself, and then to teach him.",YouTube,Arrogant,Knowledge & Moral Superiority
আল্লাহ যেনো আপনাকে সুস্থ করেন,May God heal you.,Facebook,Non-arrogant,
জয় জামাতে ইছলাম।জয় বিএনপি,I want to win.,News portal,Non-arrogant,
"জনি ভাই একটা হিজড়া, বাণিতে হাগা কবির।কারণ তার মাল টা সে দেখেনি","Johnny's brother is a nomad, the poet of The Hague, because he hasn't seen his stuff.",YouTube,Non-arrogant,
অনেক দিন পর অপুর্ব ভাইয়ের সাথে নাটক আসবে,It's been a long time coming.,YouTube,Non-arrogant,
ছি ছি এমন নাজাতের কথা শুদু কাফেরের মুখে মানায় ও তো কাফেরের মত হয়ে গেলো,"You're the one who denies the word of salvation to the disbelievers, and they're just like the disbelievers.",News portal,Non-arrogant,
"অাজকে মনটা ভাল থাই বকা দিলাম না কান্কি,ব্যাশ্শা, পতিতা, নাস্তিক, চুতমারানি, জানোয়ার, জানোয়ার অসভ্য","I didn't give you a good Thai accent. You can't be a bitch, you can't be a whore, you can't be an atheist, you can't be a pussy, you can't be an animal, you can't be an animal.",News portal,Non-arrogant,
